year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,Credit_Score,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1,loan_to_income_ratio,payment_to_income_ratio,high_dti_flag,low_credit_flag
2019,0,3,0,0,0,0,0,1,116500,360.0,1,1,1,118000.0,1,1,0,0,1740.0,758,0,1,98.72881356,3,1,1,45.0,66.91556576680068,66.91556576680068,1,0
2019,0,2,0,1,0,0,0,0,206500,360.0,1,1,0,418000.0,1,1,0,0,4980.0,552,3,1,75.13586957,0,1,1,39.0,41.45753864685806,41.45753864685806,0,1
2019,0,2,1,0,0,0,0,1,406500,360.0,0,1,1,508000.0,1,1,0,0,9480.0,834,1,1,80.01968504,3,1,0,46.0,42.87522413247548,42.87522413247548,1,0
2019,0,2,0,0,3,0,0,1,456500,360.0,1,1,1,658000.0,1,1,0,0,11880.0,587,2,0,69.3768997,0,1,0,42.0,38.422691692618464,38.422691692618464,1,1
2019,0,1,1,0,0,0,0,1,696500,360.0,1,1,1,758000.0,1,1,0,0,10440.0,602,0,0,91.88654354,0,1,0,39.0,66.70816971554449,66.70816971554449,0,1
2019,0,1,1,0,0,0,0,1,706500,360.0,1,1,1,1008000.0,1,1,0,0,10080.0,864,1,0,70.08928571,0,1,0,40.0,70.08233310187481,70.08233310187481,0,0
2019,0,1,1,0,2,0,0,1,346500,360.0,1,1,1,438000.0,1,1,0,0,5040.0,860,3,1,79.10958904,0,1,0,44.0,68.73636183296965,68.73636183296965,1,0
2019,0,0,0,0,3,0,0,1,266500,360.0,1,1,1,308000.0,1,1,0,0,3780.0,863,3,1,86.52597403,0,1,0,42.0,70.48399894207881,70.48399894207881,1,0
2019,0,1,0,0,2,0,0,1,376500,360.0,1,1,1,478000.0,1,1,0,0,5580.0,580,3,1,78.76569038,2,1,0,44.0,67.46102848951801,67.46102848951801,1,1
2019,0,3,0,2,2,0,0,1,436500,360.0,1,1,1,688000.0,1,1,0,0,6720.0,788,3,1,63.44476744,3,1,0,30.0,64.94569260526707,64.94569260526707,0,0
2019,0,2,0,1,2,1,0,0,136500,300.0,0,1,1,168000.0,1,1,0,0,4020.0,723,3,1,81.25,0,1,1,44.0,33.94677940810744,33.94677940810744,1,0
2019,0,3,0,0,2,0,0,1,466500,360.0,1,1,1,708000.0,1,1,0,0,9540.0,501,1,1,65.88983051,3,1,0,36.0,48.894245886175455,48.894245886175455,0,1
2019,0,1,0,1,2,0,0,0,206500,360.0,1,1,1,258000.0,1,1,0,0,3780.0,884,4,1,80.03875969,0,1,1,51.0,54.61518116900291,54.61518116900291,1,0
2019,0,1,0,1,3,0,0,0,436500,360.0,1,1,1,508000.0,1,1,0,0,5760.0,520,3,1,85.92519685,0,1,0,39.0,75.76809581669849,75.76809581669849,0,1
2019,0,0,0,0,3,0,0,1,226500,360.0,1,1,1,298000.0,1,1,0,0,7860.0,773,1,1,76.00671141,0,1,0,39.0,28.81312810075054,28.81312810075054,0,0
2019,0,2,0,0,3,0,0,1,76500,360.0,1,1,1,138000.0,1,1,0,0,2220.0,685,2,0,55.43478261,0,1,1,20.0,34.44394416929311,34.44394416929311,0,0
2019,0,1,0,1,0,0,0,0,356500,360.0,0,1,1,368000.0,1,1,0,0,5340.0,846,0,0,96.875,0,1,1,44.0,66.74780003744617,66.74780003744617,1,0
2019,0,2,1,0,2,0,0,1,156500,360.0,0,1,1,168000.0,1,1,0,0,3120.0,534,4,1,93.1547619,0,1,1,44.0,50.14418455623198,50.14418455623198,1,1
2019,0,0,0,0,0,0,0,1,406500,360.0,1,1,1,598000.0,1,1,0,0,5340.0,629,2,0,67.97658863,0,1,0,44.0,76.10934281969669,76.10934281969669,1,1
2019,0,3,0,0,3,0,0,1,586500,360.0,1,1,1,748000.0,1,2,0,0,12540.0,688,3,1,78.40909091,3,1,0,31.0,46.766605533848974,46.766605533848974,0,0
