id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1
24890,2019,0,3,0,0,0,0,0,1,116500,360.0,1,1,1,118000.0,1,1,0,0,1740.0,3,758,0,0,1,98.72881356,3,1,1,45.0
24891,2019,0,2,0,1,0,0,0,0,206500,360.0,1,1,0,418000.0,1,1,0,0,4980.0,2,552,1,3,1,75.13586957,0,1,1,39.0
24892,2019,0,2,1,0,0,0,0,1,406500,360.0,0,1,1,508000.0,1,1,0,0,9480.0,3,834,0,1,1,80.01968504,3,1,0,46.0
24893,2019,0,2,0,0,3,0,0,1,456500,360.0,1,1,1,658000.0,1,1,0,0,11880.0,3,587,0,2,0,69.3768997,0,1,0,42.0
24894,2019,0,1,1,0,0,0,0,1,696500,360.0,1,1,1,758000.0,1,1,0,0,10440.0,1,602,1,0,0,91.88654354,0,1,0,39.0
24895,2019,0,1,1,0,0,0,0,1,706500,360.0,1,1,1,1008000.0,1,1,0,0,10080.0,3,864,1,1,0,70.08928571,0,1,0,40.0
24896,2019,0,1,1,0,2,0,0,1,346500,360.0,1,1,1,438000.0,1,1,0,0,5040.0,3,860,1,3,1,79.10958904,0,1,0,44.0
24897,2019,0,0,0,0,3,0,0,1,266500,360.0,1,1,1,308000.0,1,1,0,0,3780.0,0,863,0,3,1,86.52597403,0,1,0,42.0
24898,2019,0,1,0,0,2,0,0,1,376500,360.0,1,1,1,478000.0,1,1,0,0,5580.0,0,580,1,3,1,78.76569038,2,1,0,44.0
24899,2019,0,3,0,2,2,0,0,1,436500,360.0,1,1,1,688000.0,1,1,0,0,6720.0,0,788,1,3,1,63.44476744,3,1,0,30.0
24900,2019,0,2,0,1,2,1,0,0,136500,300.0,0,1,1,168000.0,1,1,0,0,4020.0,3,723,0,3,1,81.25,0,1,1,44.0
24901,2019,0,3,0,0,2,0,0,1,466500,360.0,1,1,1,708000.0,1,1,0,0,9540.0,3,501,1,1,1,65.88983051,3,1,0,36.0
24902,2019,0,1,0,1,2,0,0,0,206500,360.0,1,1,1,258000.0,1,1,0,0,3780.0,1,884,1,4,1,80.03875969,0,1,1,51.0
24903,2019,0,1,0,1,3,0,0,0,436500,360.0,1,1,1,508000.0,1,1,0,0,5760.0,1,520,1,3,1,85.92519685,0,1,0,39.0
24904,2019,0,0,0,0,3,0,0,1,226500,360.0,1,1,1,298000.0,1,1,0,0,7860.0,0,773,0,1,1,76.00671141,0,1,0,39.0
24905,2019,0,2,0,0,3,0,0,1,76500,360.0,1,1,1,138000.0,1,1,0,0,2220.0,3,685,0,2,0,55.43478261,0,1,1,20.0
24906,2019,0,1,0,1,0,0,0,0,356500,360.0,0,1,1,368000.0,1,1,0,0,5340.0,1,846,1,0,0,96.875,0,1,1,44.0
24907,2019,0,2,1,0,2,0,0,1,156500,360.0,0,1,1,168000.0,1,1,0,0,3120.0,1,534,0,4,1,93.1547619,0,1,1,44.0
24908,2019,0,0,0,0,0,0,0,1,406500,360.0,1,1,1,598000.0,1,1,0,0,5340.0,0,629,0,2,0,67.97658863,0,1,0,44.0
24909,2019,0,3,0,0,3,0,0,1,586500,360.0,1,1,1,748000.0,1,2,0,0,12540.0,0,688,1,3,1,78.40909091,3,1,0,31.0
24910,2019,0,1,0,0,2,0,0,1,306500,180.0,1,1,1,558000.0,1,1,0,0,16860.0,3,668,1,4,1,54.92831541,0,1,0,6.0
24911,2019,0,0,0,0,2,0,0,1,136500,360.0,1,1,1,198000.0,1,1,0,0,2100.0,3,758,0,6,1,68.93939394,0,1,0,36.0
24912,2019,0,2,1,0,2,0,0,1,306500,360.0,1,1,1,448000.0,1,1,0,0,2880.0,3,692,0,3,1,68.41517857,3,1,1,44.0
24913,2019,0,0,0,0,2,0,0,1,316500,360.0,1,1,1,508000.0,1,1,0,0,2760.0,0,620,0,4,0,62.30314961,3,1,0,44.0
24914,2019,0,2,0,0,2,1,0,1,336500,360.0,1,1,1,428000.0,1,1,0,0,4980.0,0,846,0,1,0,78.62149533,3,1,0,35.0
24915,2019,0,1,0,0,2,0,0,1,426500,360.0,1,1,1,568000.0,1,1,0,0,8940.0,3,533,1,2,0,75.08802817,0,1,0,34.0
24916,2019,0,1,0,2,0,0,0,1,476500,360.0,1,1,1,418000.0,1,1,0,0,6780.0,2,518,1,2,1,75.13586957,3,1,1,39.0
