id,year,loan_limit,gender,approv_in_adv,loan_type,loan_purpose,credit_worthiness,open_credit,business_or_commercial,loan_amount,term,neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,secured_by,total_units,income,credit_type,credit_score,co-applicant_credit_type,age,submission_of_application,ltv,region,security_type,status,dtir1,ltv_band,income_loan_ratio,credit_risk_score,property_loan_gap,high_risk_flag
24890,2019,0,3,0,0,0,0,0,1,116500,360.0,1,1,1,118000.0,1,1,0,0,1740.0,3,758,0,0,1,98.72881356,3,1,1,45.0,3,66.91556576680068,0.0,1500.0,1
24891,2019,0,2,0,1,0,0,0,0,206500,360.0,1,1,0,418000.0,1,1,0,0,4980.0,2,552,1,3,1,75.13586957,0,1,1,39.0,2,41.45753864685806,0.0,211500.0,1
24892,2019,0,2,1,0,0,0,0,1,406500,360.0,0,1,1,508000.0,1,1,0,0,9480.0,3,834,0,1,1,80.01968504,3,1,0,46.0,2,42.87522413247548,0.0,101500.0,1
24893,2019,0,2,0,0,3,0,0,1,456500,360.0,1,1,1,658000.0,1,1,0,0,11880.0,3,587,0,2,0,69.3768997,0,1,0,42.0,1,38.422691692618464,0.0,201500.0,1
24894,2019,0,1,1,0,0,0,0,1,696500,360.0,1,1,1,758000.0,1,1,0,0,10440.0,1,602,1,0,0,91.88654354,0,1,0,39.0,3,66.70816971554449,0.0,61500.0,1
24895,2019,0,1,1,0,0,0,0,1,706500,360.0,1,1,1,1008000.0,1,1,0,0,10080.0,3,864,1,1,0,70.08928571,0,1,0,40.0,1,70.08233310187481,0.0,301500.0,1
24896,2019,0,1,1,0,2,0,0,1,346500,360.0,1,1,1,438000.0,1,1,0,0,5040.0,3,860,1,3,1,79.10958904,0,1,0,44.0,2,68.73636183296965,0.0,91500.0,1
24897,2019,0,0,0,0,3,0,0,1,266500,360.0,1,1,1,308000.0,1,1,0,0,3780.0,0,863,0,3,1,86.52597403,0,1,0,42.0,2,70.48399894207881,0.0,41500.0,1
24898,2019,0,1,0,0,2,0,0,1,376500,360.0,1,1,1,478000.0,1,1,0,0,5580.0,0,580,1,3,1,78.76569038,2,1,0,44.0,2,67.46102848951801,0.0,101500.0,1
24899,2019,0,3,0,2,2,0,0,1,436500,360.0,1,1,1,688000.0,1,1,0,0,6720.0,0,788,1,3,1,63.44476744,3,1,0,30.0,1,64.94569260526707,0.0,251500.0,1
