,loanId,memberId,date,purpose,isJointApplication,loanAmount,term,interestRate,monthlyPayment,grade,loanStatus,residentialState,yearsEmployment,homeOwnership,annualIncome,incomeVerified,dtiRatio,lengthCreditHistory,numTotalCreditLines,numOpenCreditLines,numOpenCreditLines1Year,revolvingBalance,revolvingUtilizationRate,numDerogatoryRec,numDelinquency2Years,numChargeoff1year,numInquiries6Mon
0,1888978,2305095,12/10/2014,debtconsolidation,0.0,25190.0,60 months,6.25,490,E3,Current,NM,10+ years,rent,56471,1,16.8,6,11,9.0,6,14301,49.02,0,19,10,0
1,1299695,2610493,9/15/2014,debtconsolidation,0.0,21189.0,60 months,10.49,455,B3,Current,WA,2-5 years,rent,55038,0,19.99,22,8,7.0,4,18262,72.4,1,0,0,0
2,1875016,2491679,9/11/2014,debtconsolidation,0.0,29908.0,60 months,9.11,622,B2,Current,MS,< 1 year,rent,56610,1,14.33,5,8,5.0,5,10799,66.27,0,1,1,0
3,1440478,2092798,4/22/2016,homeimprovement,0.0,13053.0,48 months,11.89,343,B3,Current,TX,6-9 years,own,54887,1,14.8,12,14,7.0,3,15272,61.05,1,0,0,3
4,1124634,2633077,2/3/2016,debtconsolidation,0.0,24613.0,60 months,15.13,587,A3,Current,MA,2-5 years,rent,53522,1,10.14,4,21,19.0,10,19316,56.39,2,14,7,1
5,1697652,2385245,11/14/2015,debtconsolidation,0.0,17905.0,60 months,10.43,384,A1,Current,NH,2-5 years,rent,58459,0,15.77,1,18,15.0,8,18830,59.61,0,0,0,0
6,1050350,2796457,5/14/2014,debtconsolidation,0.0,26238.0,36 months,10.96,859,B3,Current,VT,6-9 years,rent,56611,0,13.52,1,9,7.0,5,17157,43.01,0,0,0,0
7,1278582,2822245,4/8/2015,healthcare,0.0,21940.0,48 months,10.28,559,B1,Current,CA,10+ years,mortgage,58163,0,25.22,6,14,9.0,5,15867,62.55,0,0,0,0
8,1245174,2462353,10/22/2014,debtconsolidation,0.0,18195.0,36 months,12.08,605,A1,Current,IN,10+ years,rent,55636,1,9.97,10,19,12.0,5,12908,67.67,0,20,15,1
9,1127834,2404666,12/12/2015,debtconsolidation,0.0,24418.0,48 months,11.63,639,B1,Current,IL,6-9 years,mortgage,54599,0,20.9,26,16,11.0,10,15235,58.07,1,0,0,1
10,1155124,2211682,8/15/2014,debtconsolidation,0.0,25612.0,36 months,17.99,926,B2,Current,IA,1 year,own,56781,1,8.62,4,15,14.0,11,15900,37.7,0,0,0,10
11,1299358,2306064,2/4/2016,debtconsolidation,0.0,25659.0,48 months,14.36,706,C1,Current,UT,6-9 years,mortgage,51089,1,17.54,7,21,15.0,8,17402,88.24,0,7,5,13
12,1366944,2727099,11/13/2015,debtconsolidation,0.0,17914.0,60 months,13.28,410,B1,Current,CA,< 1 year,rent,49704,0,15.67,5,10,9.0,7,13026,68.96,0,0,0,1
13,1183120,2248818,12/1/2015,debtconsolidation,0.0,15555.0,36 months,13.02,524,A2,Current,CT,10+ years,mortgage,56864,0,9.26,7,13,12.0,7,11140,71.85,0,5,5,2
14,1702217,2276470,5/14/2014,debtconsolidation,0.0,20447.0,36 months,13.35,692,D2,Current,ID,10+ years,mortgage,56075,1,13.11,14,14,12.0,9,10098,71.71,0,1,1,0
15,1541157,2437396,11/22/2015,debtconsolidation,0.0,31487.0,48 months,11.7,825,A2,Current,FL,1 year,rent,57647,1,21.8,3,9,7.0,6,13754,50.61,0,0,0,0
16,1673267,2537040,5/5/2016,debtconsolidation,0.0,21991.0,60 months,9.72,464,C1,Current,TN,1 year,mortgage,57635,1,8.13,8,15,8.0,7,17414,54.31,0,0,0,1
