,count,mean,std,min,25%,50%,75%,max,missing,missing_pct,dtype
id,148670.0,99224.5,42917.47659753542,24890.0,62057.25,99224.5,136391.75,173559.0,0,0.0,int64
year,148670.0,2019.0,0.0,2019.0,2019.0,2019.0,2019.0,2019.0,0,0.0,int64
loan_limit,148670.0,0.06711508710567028,0.25022204804881487,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
gender,148670.0,1.6080446626757248,1.0543930665897456,0.0,1.0,2.0,3.0,3.0,0,0.0,int64
approv_in_adv,148670.0,0.155653460684738,0.36252771601008893,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
loan_type,148670.0,0.3378758323804399,0.6495712797316118,0.0,0.0,0.0,0.0,2.0,0,0.0,int64
loan_purpose,148670.0,1.8820676666442457,1.142684606570002,0.0,1.0,2.0,3.0,3.0,0,0.0,int64
credit_worthiness,148670.0,0.042550615457052535,0.20184235089113375,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
open_credit,148670.0,0.0037398264612901054,0.0610398658307938,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
business_or_commercial,148670.0,0.8603484226811058,0.34662634411680393,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
loan_amount,148670.0,331117.7439967714,183909.3101270855,16500.0,196500.0,296500.0,436500.0,3576500.0,0,0.0,int64
term,148670.0,335.1434384879263,58.40248809446625,96.0,360.0,360.0,360.0,360.0,0,0.0,float64
neg_ammortization,148670.0,0.8982377076747158,0.3023364731880705,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
interest_only,148670.0,0.9521759601802651,0.21339448758642507,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
lump_sum_payment,148670.0,0.9772381785161768,0.14914379164301472,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
property_value,148670.0,489779.98251160287,342022.0639568003,8000.0,288000.0,418000.0,598000.0,16508000.0,0,0.0,float64
construction_type,148670.0,0.9997780318826932,0.014896990976903071,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
occupancy_type,148670.0,0.971675522970337,0.26384824406803803,0.0,1.0,1.0,1.0,2.0,0,0.0,int64
secured_by,148670.0,0.00022196811730678686,0.014896990976903071,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
total_units,148670.0,0.021678886123629514,0.19852093775406243,0.0,0.0,0.0,0.0,3.0,0,0.0,int64
income,148670.0,6883.647810587207,6300.067060153331,0.0,3840.0,5760.0,8280.0,578580.0,0,0.0,float64
credit_type,148670.0,1.3348624470303356,1.194302279853273,0.0,0.0,1.0,3.0,3.0,0,0.0,int64
credit_score,148670.0,699.7891033833322,115.87585660446858,500.0,599.0,699.0,800.0,900.0,0,0.0,int64
co-applicant_credit_type,148670.0,0.4996166005246519,0.5000015345894557,0.0,0.0,0.0,1.0,1.0,0,0.0,int64
age,148670.0,2.2396650299320644,1.5193463362175466,0.0,1.0,2.0,3.0,6.0,0,0.0,int64
submission_of_application,148670.0,0.6458196004573888,0.47826580756478076,0.0,0.0,1.0,1.0,1.0,0,0.0,int64
ltv,148670.0,72.98911117083291,37.890713550424394,0.967478198,63.29787234,75.13586957,84.72222222,7831.25,0,0.0,float64
region,148670.0,1.4170780924194524,1.4524210107822195,0.0,0.0,0.0,3.0,3.0,0,0.0,int64
security_type,148670.0,0.9997780318826932,0.014896990976903071,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
status,148670.0,0.24644514696979888,0.4309422068621314,0.0,0.0,0.0,0.0,1.0,0,0.0,int64
dtir1,148670.0,37.93850810519943,9.663416502570959,5.0,33.0,39.0,44.0,61.0,0,0.0,float64
ltv_band,148670.0,1.5192843209793503,1.035319248821941,0.0,1.0,2.0,2.0,4.0,0,0.0,int64
income_loan_ratio,148670.0,3034.9231540576634,36589.92764560155,0.5992538867100681,37.58028120118035,52.82953361879412,70.9526982011992,1836500.0,0,0.0,float64
credit_risk_score,148670.0,1.8430353131095716,7.020642317803833,0.0,0.0,0.0,0.0,84.01,0,0.0,float64
property_loan_gap,148670.0,158662.2385148315,253911.57641700064,-2928500.0,41500.0,101500.0,201500.0,14031500.0,0,0.0,float64
high_risk_flag,148670.0,0.9991121275307728,0.029784058127556117,0.0,1.0,1.0,1.0,1.0,0,0.0,int64
