checking_status,duration_months,credit_history,purpose,credit_amount,savings_status,employment,installment_rate,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,credit_risk
>=200,66,critical,education,17294,100<=X<500,>=7,1,female_married,none,2,car,53,none,own,4,management,1,no,no,Bad
no_account,20,no_credit,radio_tv,10771,unknown,>=7,2,male_single,guarantor,1,car,46,bank,rent,1,management,1,yes,yes,Good
<0,36,no_credit,education,10892,unknown,unemployed,3,female_single,co_applicant,2,real_estate,41,bank,rent,1,management,1,yes,no,Good
>=200,32,existing_paid,other,1382,unknown,4<=X<7,4,male_single,guarantor,3,real_estate,69,stores,free,1,management,1,no,yes,Good
>=200,16,delayed,other,949,100<=X<500,>=7,1,male_married,co_applicant,4,life_insurance,56,stores,own,4,unskilled,2,yes,no,Good
no_account,49,all_paid,business,14784,unknown,>=7,4,male_single,co_applicant,3,car,21,bank,own,1,skilled,1,yes,yes,Bad
<0,38,delayed,business,10480,unknown,4<=X<7,2,male_single,co_applicant,2,no_property,46,stores,rent,3,management,1,no,no,Good
<0,9,critical,education,6547,500<=X<1000,unemployed,3,female_single,co_applicant,3,no_property,61,bank,free,2,unskilled,2,no,yes,Good
>=200,50,all_paid,car,13089,<100,4<=X<7,3,female_married,guarantor,4,real_estate,22,stores,free,3,management,1,no,yes,Bad
0<=X<200,28,existing_paid,other,8062,<100,unemployed,3,male_single,guarantor,2,real_estate,72,none,free,4,highly_skilled,2,yes,yes,Good
>=200,69,existing_paid,car,4807,500<=X<1000,<1,4,female_single,guarantor,3,car,46,stores,free,1,highly_skilled,2,no,no,Bad
>=200,13,all_paid,car,2429,500<=X<1000,unemployed,2,male_married,guarantor,2,real_estate,47,none,rent,2,unskilled,2,yes,no,Good
>=200,59,no_credit,education,11280,500<=X<1000,<1,1,female_single,none,2,no_property,46,none,free,1,skilled,2,no,yes,Bad
>=200,33,all_paid,car,9315,<100,<1,1,female_single,co_applicant,1,life_insurance,43,stores,own,4,highly_skilled,2,yes,yes,Good
no_account,8,critical,other,8525,unknown,unemployed,2,female_married,co_applicant,1,life_insurance,36,bank,own,2,highly_skilled,1,yes,yes,Good
<0,36,no_credit,radio_tv,18056,500<=X<1000,1<=X<4,4,male_single,co_applicant,2,car,43,none,rent,3,skilled,1,no,yes,Bad
no_account,68,existing_paid,business,15339,100<=X<500,unemployed,1,male_married,none,3,life_insurance,54,none,free,2,highly_skilled,2,yes,no,Bad
no_account,21,all_paid,radio_tv,3430,500<=X<1000,>=7,2,female_single,guarantor,3,real_estate,44,stores,free,1,management,1,yes,no,Good
no_account,52,delayed,car,6946,>=1000,>=7,1,male_single,co_applicant,3,real_estate,47,bank,free,2,skilled,2,no,no,Bad
>=200,14,delayed,radio_tv,9833,500<=X<1000,1<=X<4,3,male_single,guarantor,4,real_estate,68,bank,free,4,highly_skilled,1,yes,yes,Good
0<=X<200,29,critical,other,17248,<100,<1,1,female_single,guarantor,2,real_estate,70,stores,rent,4,skilled,1,yes,yes,Bad
<0,66,delayed,other,14119,500<=X<1000,1<=X<4,4,male_single,none,2,car,47,bank,free,2,management,1,yes,no,Bad
0<=X<200,62,all_paid,car,12007,>=1000,>=7,2,female_single,none,4,life_insurance,20,stores,rent,4,highly_skilled,1,no,no,Bad
no_account,30,all_paid,education,16904,100<=X<500,1<=X<4,4,female_single,guarantor,2,no_property,60,stores,free,4,unskilled,1,no,no,Bad
no_account,52,delayed,radio_tv,12508,unknown,unemployed,2,female_single,co_applicant,2,life_insurance,24,stores,free,4,highly_skilled,1,no,no,Bad
