person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
22.0,59000.0,123.0,35000.0,16.02,1.0,0.59,1,3.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
21.0,9600.0,5.0,1000.0,11.14,0.0,0.1,0,2.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
25.0,9600.0,1.0,5500.0,12.87,1.0,0.57,0,3.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23.0,65500.0,4.0,35000.0,15.23,1.0,0.53,0,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
24.0,54400.0,8.0,35000.0,14.27,1.0,0.55,1,4.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
21.0,9900.0,2.0,2500.0,7.14,1.0,0.25,0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26.0,77100.0,8.0,35000.0,12.42,1.0,0.45,0,3.0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
24.0,78956.0,5.0,35000.0,11.11,1.0,0.44,0,4.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
24.0,83000.0,8.0,35000.0,8.9,1.0,0.42,0,2.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
21.0,10000.0,6.0,1600.0,14.74,1.0,0.16,0,3.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
22.0,85000.0,6.0,35000.0,10.37,1.0,0.41,0,4.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
21.0,10000.0,2.0,4500.0,8.63,1.0,0.45,0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23.0,95000.0,2.0,35000.0,7.9,1.0,0.37,0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26.0,108160.0,4.0,35000.0,18.39,1.0,0.32,0,4.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
23.0,115000.0,2.0,35000.0,7.9,0.0,0.3,0,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23.0,500000.0,7.0,30000.0,10.65,0.0,0.06,0,3.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23.0,120000.0,0.0,35000.0,7.9,0.0,0.29,0,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23.0,92111.0,7.0,35000.0,20.25,1.0,0.32,0,4.0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
23.0,113000.0,8.0,35000.0,18.25,1.0,0.31,0,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
24.0,10800.0,8.0,1750.0,10.99,1.0,0.16,0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
25.0,162500.0,2.0,35000.0,7.49,0.0,0.22,0,4.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
25.0,137000.0,9.0,34800.0,16.77,0.0,0.25,1,2.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
22.0,65000.0,4.0,34000.0,17.58,1.0,0.52,0,4.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
24.0,10980.0,0.0,1500.0,7.29,0.0,0.14,0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22.0,80000.0,3.0,33950.0,14.54,1.0,0.42,1,4.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
24.0,67746.0,8.0,33000.0,12.68,1.0,0.49,0,3.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
21.0,11000.0,3.0,4575.0,17.74,1.0,0.42,1,3.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
23.0,11000.0,0.0,1400.0,9.32,0.0,0.13,0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
24.0,65000.0,6.0,32500.0,9.99,1.0,0.5,0,3.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
21.0,11389.0,5.0,4000.0,12.84,1.0,0.35,1,2.0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
21.0,11520.0,5.0,2000.0,11.12,1.0,0.17,0,3.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
25.0,120000.0,2.0,32000.0,6.62,0.0,0.27,0,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
26.0,95000.0,7.0,31050.0,14.17,1.0,0.33,1,3.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
25.0,306000.0,2.0,24250.0,13.85,0.0,0.08,0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
26.0,300000.0,10.0,7800.0,13.49,0.0,0.03,0,4.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
21.0,12000.0,5.0,2500.0,7.51,1.0,0.21,0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22.0,48000.0,1.0,30000.0,18.39,1.0,0.63,0,2.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
24.0,64000.0,8.0,30000.0,14.54,1.0,0.47,1,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25.0,75000.0,4.0,30000.0,16.89,1.0,0.4,1,4.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
23.0,71500.0,3.0,30000.0,11.178,1.0,0.42,0,4.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
26.0,62050.0,6.0,30000.0,17.99,1.0,0.41,0,2.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
24.0,12000.0,4.0,2500.0,12.69,1.0,0.21,0,3.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
26.0,300000.0,10.0,20000.0,7.88,0.0,0.07,0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23.0,300000.0,1.0,24250.0,19.41,0.0,0.08,1,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
26.0,300000.0,9.0,10000.0,10.38,0.0,0.03,0,4.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
26.0,300000.0,0.0,25000.0,15.33,0.0,0.08,0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25.0,300000.0,9.0,18000.0,16.45,0.0,0.06,0,3.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
